Category,Sl.No.,Ministry/Department,Scheme,"Actuals 2021-2022 Revenue
",Actuals 2021-2022 Capital,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Revenue,Budget Estimates 2022-2023 Capital,Budget Estimates 2022-2023 Total,Revised Estimates2022-2023 Revenue,Revised Estimates 2022-2023 Revenue,Revised Estimates2022-2023 Total,Budget Estimates2023-2024 Revenue,Budget Estimates2023-2024 Capital,Budget Estimates2023-2024 Total
Demand No. 3,34,Atomic Energy,Radiation and Isotopes Project (BRIT),0,27.14,27.14,NA,38.71,38.71,0,98.71,98.71,0,44.14,44.14
Demand No. 3,35,Atomic Energy,Nuclear Power Projects,57.27,21.12,78.39,140.46,153.93,294.39,1341.89,200.38,1542.27,288.35,153.93,442.28
Demand No. 3,36,Atomic Energy,Nuclear Fuel Fabrication Projects,0,639.67,639.67,NA,597.5,597.5,0,800.01,800.01,0,763.61,763.61
Demand No. 3,37,Atomic Energy,Atomic Energy Regulatory Board Expansion Project,0,23.56,23.56,NA,44.72,44.72,0,35,35,0,15.81,15.81
Demand No. 3,38,Atomic Energy,R&D projects of Variable Energy Cyclotron Centre (VECC),0,34.99,34.99,NA,67.21,67.21,0,50,50,0,73.62,73.62
Demand No. 3,39,Atomic Energy,Research and Development Projects,6.35,1249.95,1256.3,7.85,955.17,963.02,5.98,963.99,969.97,7.43,832.25,839.68
Demand No. 3,40,Atomic Energy,Industries and Minerals Projects,9,70,79,9,100,109,9,174.3,183.3,10,75.25,85.25
Demand No. 3,41,Atomic Energy,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,0,430.82,430.82,NA,660,660,0,400,400,0,515.5,515.5
Demand No. 3,42,Atomic Energy,Nuclear Fuel Inventory,-1732.1,0,-1732.1,388.29,0,388.29,203.57,0,203.57,-168.26,0,-168.26
Demand No. 4,43,Ministry of Ayush,Assistance to accredited AYUSH Centres of Excellence in Non Governmental/ Private Sector engaged in AYUSH education/drug Development and Research/ Clinical Research/ Folk Medicine etc,0.02,0,0.02,0,0,0,0,0,0,0,0,0
Demand No. 4,44,Ministry of Ayush,AYUSH and Public Health,0.51,0,0.51,0,0,0,0,0,0,0,0,0
Demand No. 4,45,Ministry of Ayush,"Information, Education and Communication",30.04,0,30.04,43.88,0,43.88,55.4,0,55.4,41,0,41
Demand No. 4,46,Ministry of Ayush,Promotion of International Cooperation,62.94,0,62.94,86.1,0,86.1,94.6,0,94.6,44.27,0,44.27
Demand No. 4,47,Ministry of Ayush,Re-oreintation Training Programme of AYUSH Personnel/Continuing Medical Education (ROTP/CME),4.8,0,4.8,0,0,0,0,0,0,0,0,0
Demand No. 4,48,Ministry of Ayush,Extra Mural Research Projects through Research Institutes etc.,2.14,0,2.14,0,0,0,0,0,0,0,0,0
Demand No. 4,49,Ministry of Ayush,Champion Services Sector Scheme,19.13,0,19.13,60.22,0,60.22,10.06,0,10.06,21.68,0,21.68
Demand No. 4,50,Ministry of Ayush,Programme on 'Ayurveda-Biology Integrated Health Research',0,0,0,0.5,0,0.5,0,0,0,0,0,0
Demand No. 4,51,Ministry of Ayush,Pradhan Mantri VRIKSH AYUSH Yojana,0,0,0,1,0,1,0,0,0,0,0,0
Demand No. 4,52,Ministry of Ayush,AYURGYAN,4.49,0,4.49,15.5,0,15.5,10.85,0,10.85,9,0,9
Demand No. 4,53,Ministry of Ayush,Ayurswasthay Yojana,35,0,35,27.79,0,27.79,11,0,11,6,0,6
Demand No. 4,54,Ministry of Ayush,AYUSH Oushadhi Gunvatta evum Uttapadan Samvardhan Yojana (AOGUSY),1.77,0,1.77,23.5,0,23.5,20,0,20,20,0,20
Demand No. 4,55,Ministry of Ayush,"Central Sector Scheme for Conservation, Development and Sustainable Management of Medicinal Plants",31.3,0,31.3,48.49,0,48.49,48.25,0,48.25,43.49,0,43.49
Demand No. 5,56,Department of Chemicals and Petrochemicals,Chemical Promotion and Development Scheme,3.14,0,3.14,3,0,3,3,0,3,0,0,0
Demand No. 5,57,Department of Chemicals and Petrochemicals,Promotion of Petrochemicals,51.57,0,51.57,48.5,0,48.5,29,0,29,0,0,0
Demand No. 5,58,Department of Chemicals and Petrochemicals,New Schemes of Petrochemicals,0,0,0,0,0,0,0,0,0,22,0,22
Demand No. 6,59,Department of Fertilisers,Urea Subsidy,100988.13,0,100988.13,63222.32,0,63222.32,154097.93,0,154097.93,131099.92,0.2,131100.12
Demand No. 6,60,Department of Fertilisers,Nutrient Based Subsidy,52769.97,0,52769.97,42000,0,42000,71122.23,0,71122.23,44000,0,44000
Demand No. 6,61,Department of Fertilisers,Scheme for promotion of flagging of merchant ships in India,0,0,0,0,0,0,2.16,0,2.16,3.25,0,3.25
Demand No. 7,62,Department of Pharmaceuticals,National Institutes of Pharmaceutical Education and Research (NIPERs),350,0,350,350,0,350,377,0,377,550,0,550
Demand No. 7,63,Department of Pharmaceuticals,Jan Aushadhi Scheme,68.5,0,68.5,72.5,0,72.5,100,0,100,115,0,115
Demand No. 7,64,Department of Pharmaceuticals,Development of Pharmaceutical Industry,157.08,0,157.08,0,0,0,0,0,0,0,0,0
Demand No. 7,65,Department of Pharmaceuticals,Consumer Awareness Publicity and Price Monitoring,2.81,0,2.81,6,0,6,3.75,0,3.75,5,0,5
Demand No. 7,66,Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,0,0,0,100,0,100,36,0,36,1250,0,1250
Demand No. 7,67,Department of Pharmaceuticals,Production Linked Incentive Schemes,0,0,0,1629,0,1629,1663.3,0,1663.3,1200,0,1200
Demand No. 8,68,Ministry of Civil Aviation,Regional Connectivity Scheme,980.27,0,980.27,600.71,0,600.71,1078.81,0,1078.81,1244.07,0,1244.07
Demand No. 8,69,Ministry of Civil Aviation,Purchase of two new aircraft for Special Extra Section Flight operations.,129.89,0,129.89,39.32,0,39.32,39.32,0,39.32,0.01,0,0.01
Demand No. 8,70,Ministry of Civil Aviation,Air India Asset Holding Limited (SPV),1378,0,1378,9259.91,0,9259.91,7200,0,7200,0,0,0
Demand No. 8,71,Ministry of Civil Aviation,Krishi Udaan Scheme,0,0,0,0.01,0,0.01,0.01,0,0.01,0.01,0,0.01
Demand No. 8,72,Ministry of Civil Aviation,Production Linked Incentive (PLI) Scheme for Drone and Drone Component,0,0,0,0,0,0,40,0,40,33,0,33
Demand No. 9,73,Ministry of Coal,Research and Development,8.35,0,8.35,10,0,10,8.35,0,8.35,21,0,21
Demand No. 9,74,Ministry of Coal,"Conservation, Safety and Infrastructure Development in Coal Mines",62.68,0,62.68,54.54,0,54.54,54.54,0,54.54,92.5,0,92.5
Demand No. 9,75,Ministry of Coal,Exploration of Coal and Lignite,425.05,0,425.05,250,0,250,0,0,0,0,0,0
Demand No. 10,76,Department of Commerce,Agricultural Product Export Development Authority (APEDA),85,0,85,80,0,80,80,0,80,80,0,80
Demand No. 10,77,Department of Commerce,Marine Product Export Development Authority (MPEDA),126.05,0,126.05,116,0,116,100,0,100,100,0,100
Demand No. 10,78,Department of Commerce,Trade Infrastructure for Export Schemes (TIES),74.99,0,74.99,71,0,71,71,0,71,71,0,71
Demand No. 10,79,Department of Commerce,Duty Drawback Scheme,234.07,0,234.07,221,0,221,196.01,0,196.01,180,0,180
Demand No. 10,80,Department of Commerce,Tea Board,157.37,0,157.37,131.92,0,131.92,131.92,0,131.92,135,0,135
Demand No. 10,81,Department of Commerce,Coffee Board,164.57,0,164.57,226.21,0,226.21,228.2,0,228.2,226.2,0,226.2
Demand No. 10,82,Department of Commerce,Rubber Board,263.95,0,263.95,268.76,0,268.76,268.76,0,268.76,268.76,0,268.76
Demand No. 10,83,Department of Commerce,Spices Board,115.5,0,115.5,115.5,0,115.5,115.5,0,115.5,115.5,0,115.5
Demand No. 10,84,Department of Commerce,Market Access Initiative,140,0,140,200,0,200,160,0,160,200,0,200
Demand No. 10,85,Department of Commerce,National Export Insurance Account,744,0,744,450,0,450,906,0,906,0,0,0
Demand No. 10,86,Department of Commerce,Gems and Jewellery Sector,7.59,0,7.59,0,NA,NA,0,0,0,0,0,0
Demand No. 10,87,Department of Commerce,Investment in ECGC (Export Credit Guarantee Corporation),0,760,760,NA,400,400,0,388,388,0,0.01,0.01
Demand No. 10,88,Department of Commerce,Interest Equalisation Scheme,3487.97,0,3487.97,2621.5,0,2621.5,2376.02,0,2376.02,2932,0,2932
Demand No. 10,89,Department of Commerce,Project Development Fund,0,0,0,16.5,0,16.5,10,0,10,1.99,0,1.99
Demand No. 10,90,Department of Commerce,Champion Service Sector Scheme on Transportation and Logistics,0,0,0,0.01,0,0.01,0,0,0,0,0,0
Demand No. 10,91,Department of Commerce,Centre For Research on International Trade-CRIT (Centre for WTO Studies),21,0,21,41,0,41,32,0,32,41,0,41
Demand No. 10,92,Department of Commerce,Transport and Marketing Assistance (TMA) Scheme for specified agriculture products,249.99,0,249.99,250,0,250,545,0,545,0.01,0,0.01
Demand No. 11,93,Department for Promotion of Industry and Internal Trade,Indian Leather Development Programme (ILDP),228.46,0,228.46,0,0,0,0,0,0,0,0,0
Demand No. 11,94,Department for Promotion of Industry and Internal Trade,"Footwear, Leather and Accessories Development Programme (FLADP)",0,0,0,208,0,208,74.53,0,74.53,250,0,250
Demand No. 11,95,Department for Promotion of Industry and Internal Trade,Industrial Infrastructure Upgradation Scheme (IIUS),2.71,0,2.71,5.08,0,5.08,5.08,0,5.08,5,0,5
Demand No. 11,96,Department for Promotion of Industry and Internal Trade,Price and Production Statistics,17.25,0,17.25,16.23,0,16.23,20,0,20,17.85,0,17.85
Demand No. 11,97,Department for Promotion of Industry and Internal Trade,National Industrial Corridor Development and Implementation Trust (NICDIT),859.1,0,859.1,1500,0,1500,1500,0,1500,2000,0,2000
Demand No. 11,98,Department for Promotion of Industry and Internal Trade,"Exhibition-Cum-Convention Centre, Dwarka",0,245.58,245.58,0,0,0,0,0,0,0,0,0
Demand No. 11,99,Department for Promotion of Industry and Internal Trade,Scheme for Investment Promotion,202.47,0,202.47,189,0,189,189,0,189,194.85,0.15,195
Demand No. 11,100,Department for Promotion of Industry and Internal Trade,Fund of Funds,0,1330,1330,NA,1000,1000,0,1189.02,1189.02,0,1470,1470
Demand No. 11,101,Department for Promotion of Industry and Internal Trade,Credit Guarantee Fund,0,0,0,0,0,0,25,0,25,250,0,250
Demand No. 11,102,Department for Promotion of Industry and Internal Trade,Startup India,20.18,0,20.18,50,0,50,44.29,0,44.29,30,0,30
Demand No. 11,103,Department for Promotion of Industry and Internal Trade,Startup India Seed Fund Scheme (SISFS),0,100,100,NA,283.5,283.5,0,140,140,0,160,160
Demand No. 11,104,Department for Promotion of Industry and Internal Trade,Ease of Doing Business,9.13,0,9.13,12,0,12,11.5,0,11.5,10,0,10
Demand No. 11,105,Department for Promotion of Industry and Internal Trade,Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights),1.18,0,1.18,3.54,0,3.54,3.54,0,3.54,65,0,65
Demand No. 11,106,Department for Promotion of Industry and Internal Trade,North Eastern Industrial and Investment Promotion Policy (NEIPP),180,0,180,20,0,20,90,0,90,200,0,200
Demand No. 11,107,Department for Promotion of Industry and Internal Trade,North East Industrial Development Scheme (NEIDS) 2017,30,0,30,150,0,150,165,0,165,400,0,400
Demand No. 11,108,Department for Promotion of Industry and Internal Trade,Transport/Freight Subsidy Scheme,382.95,0,382.95,300,0,300,156.2,0,156.2,50,0,50
Demand No. 11,109,Department for Promotion of Industry and Internal Trade,"Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand",28.33,0,28.33,29.5,0,29.5,15.9,0,15.9,8,0,8
Demand No. 11,110,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh",43.41,0,43.41,110,0,110,30,0,30,50,0,50
Demand No. 11,111,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017",131.9,0,131.9,31.9,0,31.9,146.6,0,146.6,250,0,250
Demand No. 11,112,Department for Promotion of Industry and Internal Trade,Industrial Development of UT of Jammu and Kashmir,1.79,0,1.79,150,0,150,75,0,75,150,0,150
Demand No. 11,113,Department for Promotion of Industry and Internal Trade,"Industrial Development of Ladakh, 2022",0,0,0,0,0,0,0,0,0,97.3,0,97.3
Demand No. 11,114,Department for Promotion of Industry and Internal Trade,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,3904.3,0,3904.3,3631.64,0,3631.64,2100,0,2100,1713.88,0,1713.88
Demand No. 12,115,Department of Posts,Postal Operation,294.32,603.53,897.85,363.45,602.05,965.5,267.07,1002.66,1269.73,120.86,1023.45,1144.31
Demand No. 12,116,Department of Posts,Financial Services,0,3.32,3.32,0,0,0,0,0,0,0,0,0
Demand No. 12,117,Department of Posts,India Post Payments Bank,0,200,200,NA,200,200,0,400,400,0,250,250
Demand No. 12,118,Department of Posts,Human Resource Management,11.8,7.15,18.95,20.93,4.07,25,25.82,3.26,29.08,28,6,34
Demand No. 12,119,Department of Posts,Estates Management,0,56.73,56.73,0.5,64.5,65,0,70.1,70.1,0.5,99.5,100
Demand No. 13,120,Department of Telecommunications,Compensation to Service Providers for creation and augmentation of telecom infrastructure,8300,0,8300,2000,7000,9000,1510,1500,3010,5400,5000,10400
Demand No. 13,121,Department of Telecommunications,Optical Fibre Cable based network for Defence Services,0,3069.91,3069.91,NA,1961,1961,0,1961,1961,0,2158,2158
Demand No. 13,122,Department of Telecommunications,Domestic Industry Incentivisation Scheme,0,0,0,0,0,0,0,0,0,915,0,915
Demand No. 13,123,Department of Telecommunications,Wireless Planning and Coordination,54.38,4.79,59.17,60,16.01,76.01,71.05,13.45,84.5,70,686.42,756.42
Demand No. 13,124,Department of Telecommunications,Telecom Engineering Centre,0,2.15,2.15,NA,15,15,0,5.12,5.12,0,12,12
Demand No. 13,125,Department of Telecommunications,Technology Development and  Investment Promotion,2.96,0,2.96,19,0,19,19,0,19,0,0,0
Demand No. 13,126,Department of Telecommunications,Construction of  Office Building,0,0,0,NA,0.01,0.01,0,0.01,0.01,0,0,0
Demand No. 13,127,Department of Telecommunications,Telecom Testing and Security Certification Centre,0,0,0,NA,10,10,0,10,10,0,24,24
Demand No. 13,128,Department of Telecommunications,Telecom Computer Emergency Response Team(T-Cert),0,16,16,NA,31.8,31.8,0,111.25,111.25,0,351.34,351.34
Demand No. 13,129,Department of Telecommunications,Central Equipments Identity Register (CEIR),0,11.59,11.59,NA,13,13,0,13,13,0,0,0
Demand No. 13,130,Department of Telecommunications,Funding to BSNL for providing Telecom Connectivity for Amarnath Yatra,0,0,0,1,0,1,1,0,1,1,0,1
Demand No. 13,131,Department of Telecommunications,5G Connectivity Test Bed,0,10.21,10.21,NA,10,10,5.11,2.63,7.74,5.55,0.01,5.56
Demand No. 13,132,Department of Telecommunications,Champion Services Sector Scheme,8.56,0,8.56,3.5,0,3.5,52.86,0,52.86,0,0,0
Demand No. 13,133,Department of Telecommunications,Production Linked Incentive (PLI) Scheme to Promote Telecom and Networking Products Manufacturing in India,0,0,0,527.68,0,527.68,90.25,0,90.25,0,0,0
Demand No. 13,134,Department of Telecommunications,Digital Intelligence Unit Project,0,0,0,NA,10,10,0,21,21,0,220,220
Demand No. 14,135,Department of Consumer Affairs,Price Stabilisation Fund,2030.83,0,2030.83,1500,0,1500,0.01,0,0.01,0.01,0,0.01
Demand No. 14,136,Department of Consumer Affairs,CONFONET,32,0,32,27,0,27,29.26,0,29.26,29.4,0,29.4
Demand No. 14,137,Department of Consumer Affairs,Consumer Awareness (Advertising and Publicity),7.84,0,7.84,25,0,25,17.5,0,17.5,17.99,0,17.99
Demand No. 14,138,Department of Consumer Affairs,Consumer Helplines,0.4,0,0.4,0,0,0,0,0,0,0,0,0
Demand No. 14,139,Department of Consumer Affairs,Consumer Protection Cell,6.55,0,6.55,7,0,7,5.4,0,5.4,7.6,0,7.6
Demand No. 14,140,Department of Consumer Affairs,Price Monitoring Structure,1.44,0,1.44,1.5,0,1.5,3,0,3,5.73,0.27,6
Demand No. 14,141,Department of Consumer Affairs,"Strengthening Consumer Forum, Consumer Counseling and Mediation",2.79,0,2.79,6,0,6,3.16,0,3.16,7,0,7
Demand No. 14,142,Department of Consumer Affairs,Bureau of Indian Standard,0,0,0,0.75,0,0.75,0.01,0,0.01,0.5,0,0.5
Demand No. 14,143,Department of Consumer Affairs,National Test House,9.16,3.24,12.4,9.1,5.65,14.75,9.58,7.42,17,9.24,7.76,17
Demand No. 14,144,Department of Consumer Affairs,Strengthening of Weights and Measures Infrastructure and Strengthening of Regional Reference Standard Laboratories and Indian Institute of Legal Metrology,2.5,15.29,17.79,2.8,14.2,17,3.8,19.2,23,9,19,28
Demand No. 15,145,Department of Food and Public Distribution,Food Subsidy  to Food Corporation of India under National Food Security Act.,208929,0,208929,145919.9,0,145919.9,214696,0,214696,137207,0,137207
Demand No. 15,146,Department of Food and Public Distribution,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA,79789.54,0,79789.54,60561.19,0,60561.19,72282.5,0,72282.5,59793,0,59793
Demand No. 15,147,Department of Food and Public Distribution,Sugar Subsidy payable under Public Distribution System,250,0,250,350,0,350,215.55,0,215.55,350,0,350
Demand No. 15,148,Department of Food and Public Distribution,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA,6000,0,6000,0,0,0,0,0,0,0,0,0
Demand No. 15,149,Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2018-19 season,122.18,0,122.18,0,0,0,1.5,0,1.5,0,0,0
Demand No. 15,150,Department of Food and Public Distribution,Scheme for Creation and Maintenance of Buffer Stock of 40 LMT of Sugar,607.7,0,607.7,0,0,0,0.42,0,0.42,0,0,0
Demand No. 15,151,Department of Food and Public Distribution,Scheme for Creation and Maintenance of Buffer Stock of Sugar,96.04,0,96.04,0,0,0,3,0,3,0,0,0
Demand No. 15,152,Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2019-20 season,2120.86,0,2120.86,0,0,0,14.5,0,14.5,0,0,0
Demand No. 15,153,Department of Food and Public Distribution,Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity,160,0,160,300,0,300,259.83,0,259.83,400,0,400
Demand No. 15,154,Department of Food and Public Distribution,"Scheme for defraying expenditure towards internal transport, freight, handling and other charges on export",3.1,0,3.1,0,0,0,0.25,0,0.25,0,0,0
Demand No. 15,155,Department of Food and Public Distribution,"Scheme for providing assistance to Sugar Mills for expenses on marketing costs including handling, upgrading and other processing costs and costs of international and internal transport and freight charges on export of sugar",3477.62,0,3477.62,0,0,0,20.5,0,20.5,0,0,0
Demand No. 15,156,Department of Food and Public Distribution,Schemes for Development of Sugar Industries,22,121.1,143.1,16,68.81,84.81,16,61.7,77.7,10,0,10
Demand No. 15,157,Department of Food and Public Distribution,Strengthening of PDS Operations,0.87,0,0.87,2,0,2,2.5,0,2.5,5,0,5
Demand No. 15,158,Department of Food and Public Distribution,Integrated Management of Public Distribution System,23.76,0,23.76,40,0,40,30,0,30,0,0,0
Demand No. 15,159,Department of Food and Public Distribution,Storage and Godowns,1.22,5,6.22,3.2,30,33.2,3.2,35.01,38.21,3.57,100,103.57
Demand No. 15,160,Department of Food and Public Distribution,Actual Recoveries,-0.54,0,-0.54,0,0,0,0,0,0,0,0,0
Demand No. 16,161,Ministry of Cooperation,Integrated Scheme on Agriculture Cooperation (ISAC),0,0,0,50,0,50,664.96,0,664.96,0.01,0,0.01
Demand No. 16,162,Ministry of Cooperation,Cooperative Credit Guarantee Fund,0,0,0,1,0,1,0,0,0,0,0,0
Demand No. 16,163,Ministry of Cooperation,Co-operative Education,0,0,0,30,0,30,30,0,30,30,0,30
Demand No. 16,164,Ministry of Cooperation,Cooperative Training,0,0,0,25,0,25,25,0,25,25,0,25
Demand No. 17,165,Ministry of Corporate Affairs,Champion Service Sector Scheme on Accounting and Finance Services,0,0,0,0.01,0,0.01,0,0,0,0,0,0
Demand No. 17,166,Ministry of Corporate Affairs,Corporate Data Management (CDM),4.45,0,4.45,5.67,0,5.67,5.67,0,5.67,0.02,0,0.02
Demand No. 17,167,Ministry of Corporate Affairs,Data Mining System (DMS),0,0.18,0.18,NA,0.5,0.5,0,0.5,0.5,0,0,0
Demand No. 18,168,Ministry of Culture,"Centenaries and Anniversaries,  Celebrations and Schemes",125.64,0,125.64,110,0,110,353.82,0,353.82,185,0,185
Demand No. 18,169,Ministry of Culture,Kala Sanskriti Vikas Yojana,156.46,0,156.46,185.85,1,186.85,214.36,0,214.36,210.49,0,210.49
Demand No. 18,170,Ministry of Culture,Development of Museums,142.72,0,142.72,180,0,180,214.23,0,214.23,183.86,0,183.86
Demand No. 18,171,Ministry of Culture,Development of Libraries and Archives,1.52,0,1.52,23,0,23,19.1,0,19.1,26.02,0,26.02
Demand No. 18,172,Ministry of Culture,Global Engagement and International Cooperation,9.86,0,9.86,13.57,0,13.57,16.25,0,16.25,25.55,0,25.55
Demand No. 18,173,Ministry of Culture,National mission on cultural mapping and roadmap,0,0,0,19.13,0,19.13,19.13,0,19.13,19.82,0,19.82
Demand No. 19,174,Ministry of Defence (Civil),Transfer to Central Road and Infrastructure Fund,0,3500,3500,NA,3500,3500,0,0,0,0,0,0
Demand No. 19,175,Ministry of Defence (Civil),Works under Border Roads Development Board,0,-18.83,-18.83,0,0,0,0,4500,4500,0,5000,5000
Demand No. 19,176,Ministry of Defence (Civil),Grants to States for Strategic Roads,49.41,0,49.41,55,0,55,50,0,50,55,0,55
Demand No. 19,177,Ministry of Defence (Civil),Other works,828.09,0,828.09,1000,0,1000,900,0,900,950,0,950
Demand No. 21,178,Capital Outlay on Defence Services,Land-Army,0,403.93,403.93,NA,580,580,0,394.47,394.47,0,291,291
Demand No. 21,179,Capital Outlay on Defence Services,Construction Works-Army,0,4488.68,4488.68,NA,5596.41,5596.41,0,5125.02,5125.02,0,6788.54,6788.54
Demand No. 21,180,Capital Outlay on Defence Services,Aircrafts and Aeroengines-Army,0,2113.31,2113.31,NA,2070,2070,0,3565,3565,0,5500,5500
Demand No. 21,181,Capital Outlay on Defence Services,Heavy and Medium Vehicles,0,1508.17,1508.17,NA,1817.17,1817.17,0,2385,2385,0,3000,3000
